id_source,id_destination,region,date,hour,calls,seconds,sms,total_amount,hashed_id
A2C,A4B,9,20211001,18,0,0,180,450.0,d7dcc6703e425a6e39d6ebaf31cba1bd
17D,AFD,8,20211001,15,0,0,165,412.5,7521526054bb89ba243073f7e5e541ec
CF6,FBE,7,20211001,15,0,0,160,400.0,3f77e9dfaa037a763ff92fe430985fa4
1DF,264,7,20211001,23,0,0,158,395.0,ccc83e5d7011c8df9cc263a2bac0a8f4
068,A66,9,20211001,0,0,0,124,310.0,fb8490a9504a36c212b5a1be7b4ca7e4
162,FB6,4,20211001,15,1,13,206,309.0,82aa4b0af34c2313a562076992e50aa3
FCA,700,9,20211001,13,0,0,117,292.5,17dfecb54551e0419a4c1b2ba0ee1cf3
CEE,63C,4,20211001,20,0,0,188,282.0,98a499caca616859e43572bac085eb2d
C82,7ED,6,20211001,12,0,0,111,277.5,41fc05922ac4a713bdb2745844c459cd
A2C,A4B,9,20211001,19,0,0,109,272.5,d7dcc6703e425a6e39d6ebaf31cba1bd
76F,FA2,7,20211001,9,0,0,108,270.0,1b9204fd05eed7af9ec2ffb0891d84ab
08D,820,9,20211001,14,0,0,104,260.0,f1b82e0bb80be61e2b8ae3a610b9a06d
390,3C2,7,20211001,0,0,0,102,255.0,a01a0380ca3c61428c26a231f0e49a09
EB1,88A,9,20211001,11,0,0,100,250.0,f0b303b94865daaba2226c8dc0c07353
DA5,E7F,8,20211001,17,0,0,96,240.0,6a5a0d32c4c51782382bff11d2b894da
335,9D6,8,20211001,20,0,0,91,227.5,f9b902fc3289af4dd08de5d1de54f68f
F4B,A42,7,20211001,17,0,0,91,227.5,826893e53afeff983c29371c01586efb
23C,3AA,9,20211001,14,0,0,89,222.5,428cdff1010350e01ff31cf9690f27e0
11C,9B7,9,20211001,1,0,0,88,220.0,0816da75e13696127a3ca692ccc9d06b
BD8,0C5,7,20211001,1,0,0,86,215.0,1bfd138f9868e50335554d0fbe885444
F02,7B4,6,20211001,23,0,0,85,212.5,c82429e8d9bfeb1caa3ac2f848155553
E98,914,8,20211001,23,0,0,85,212.5,ccdafd146e9ec355a7ab32313074efa6
D03,B18,9,20211001,20,0,0,79,197.5,6b9a20a85d8e795d94d47905a75f6ed3
84C,4DA,9,20211001,16,5,264,79,197.5,f33e3ebc2d9aab9c9a14f2368bec2234
EB1,88A,9,20211001,10,0,0,77,192.5,f0b303b94865daaba2226c8dc0c07353
E98,914,8,20211001,22,0,0,76,190.0,ccdafd146e9ec355a7ab32313074efa6
239,FC6,7,20211001,22,0,0,76,190.0,555d6702c950ecb729a966504af0a635
866,4B3,9,20211001,23,0,0,75,187.5,ca8155f4d27f205953f9d3d7974bdd70
5BD,513,6,20211001,13,0,0,75,187.5,d651f833c9d3e595374094da03d74bb9
3AC,B28,7,20211001,20,1,61,74,185.0,d3f3d6e1ec13681a92cc80e21b51e4e2
F02,7B4,6,20211001,22,0,0,74,185.0,c82429e8d9bfeb1caa3ac2f848155553
373,E21,6,20211001,22,0,0,74,185.0,ffd52f3c7e12435a724a8f30fddadd9c
E4C,DAB,9,20211001,0,0,0,72,180.0,287a1360ea08c430b3ebc25f51677c3e
CF5,B82,7,20211001,23,0,0,71,177.5,5b8d270f2027a50bf985882a6ff08dc5
ADC,217,7,20211001,18,0,0,70,175.0,72c1bba79e6502c017bd14bc00a68491
